"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"1435639_PM_at",6.20719000259906,7.83834796081039,19.6184363396878,4.58460642376903e-06,0.112553185976953,3.46798702219759,"2610528A11Rik"
"1417109_PM_at",4.16549752013607,6.98001489022941,18.7211965598802,5.82710598693254e-06,0.112553185976953,3.376296062458,"Tinagl1"
"1416200_PM_at",3.21161739321067,6.73228137375224,16.7478573593554,1.02979939051131e-05,0.112553185976953,3.13496661834894,"Il33"
"1418674_PM_at",2.79809613184052,6.65725355478212,15.0160090709995,1.79581313109251e-05,0.112553185976953,2.86569865028513,"Osmr"
"1421624_PM_a_at",2.31564948154382,6.80666620288732,14.2468440931261,2.34558019676919e-05,0.112553185976953,2.72417999036763,"Enah"
"1416431_PM_at",4.38934474352139,6.89797463360948,13.7258876173573,2.83313534477849e-05,0.112553185976953,2.6192648902508,"Tubb6"
"1419358_PM_at",3.32362804308948,6.13494961500706,13.4045772209075,3.19409162131709e-05,0.112553185976953,2.55055249344477,"Sorcs2"
"1438164_PM_x_at",4.57766018551477,7.02076974625364,13.2977157629386,3.32607374172568e-05,0.112553185976953,2.52698479054818,"Flot2"
"1455899_PM_x_at",3.7799794353644,7.30109690402448,13.0648692932397,3.63678614570899e-05,0.112553185976953,2.47434611495014,"Socs3"
"1417488_PM_at",2.6745184098699,6.88847821232357,13.0130413797393,3.71056610194221e-05,0.112553185976953,2.46238415592409,"Fosl1"
"1429475_PM_at",4.0955844294429,6.14538948518732,12.6307649494368,4.31332438719332e-05,0.112553185976953,2.37128171684035,"Ubash3b"
"1451144_PM_at",3.16617937231884,7.36113711683566,12.2351232207751,5.06373127716908e-05,0.112553185976953,2.27139370350878,"Brix1"
"1436816_PM_at",2.48595450554692,7.29666963257194,12.166621591782,5.2089089873091e-05,0.112553185976953,2.25349036436027,"Nup133"
"1448894_PM_at",2.90576641826287,6.30930036733124,12.0453116742181,5.4783174596424e-05,0.112553185976953,2.22132856953291,"Akr1b8"
"1420875_PM_at",2.89714176048053,7.40941011631924,11.8657648255458,5.90806243376177e-05,0.112553185976953,2.17263118986665,"Gm4887 /// Twf1"
"1416165_PM_at",4.08352133125443,6.97059754682662,11.7561821976308,6.19002490916232e-05,0.112553185976953,2.14225074266291,"Rab31"
"1427747_PM_a_at",3.45857858247429,7.010408167924,11.6920356200538,6.36248707536156e-05,0.112553185976953,2.12423001736582,"Lcn2"
"1416802_PM_a_at",1.85738993320255,6.74903825069733,11.6807002720636,6.39355259625672e-05,0.112553185976953,2.12102717941975,"Cdca5"
"1418382_PM_at",-2.92200138451277,6.74261969263803,-11.4289979065528,7.13206679361974e-05,0.112553185976953,2.04845550270105,"Apcdd1"
"1419309_PM_at",2.85793620079992,6.6109498634967,11.254155802837,7.70496657428195e-05,0.112553185976953,1.99636340313309,"Pdpn"
"1422588_PM_at",7.56775711390087,7.79227260094075,11.2255605219971,7.8037786055084e-05,0.112553185976953,1.98770891578272,"Krt6b"
"1430021_PM_a_at",2.16833207001059,7.76140891405606,11.1413899111627,8.10347818765272e-05,0.112553185976953,1.96201029222882,"Sae1"
"1420664_PM_s_at",2.7808187927065,6.01165705853631,10.9755052692246,8.7350742451498e-05,0.112553185976953,1.91036685302985,"Procr"
"1427364_PM_a_at",3.36738937546102,7.53118616727801,10.97105889104,8.7527912412665e-05,0.112553185976953,1.90896411965719,"Odc1"
"1420388_PM_at",2.60756519270829,6.52048674985019,10.8717609194655,9.15978196693502e-05,0.112553185976953,1.87738216455185,"Prss12"
"1453263_PM_at",2.18981923558682,6.50839422264166,10.7482337033049,9.69783561435074e-05,0.115202630912475,1.83740111148662,"Naa35"
"1446353_PM_at",2.87155074022627,9.56680741621729,10.5827468341144,0.000104785654555747,0.118253230807524,1.78260542361156,"Tubb6"
"1455806_PM_x_at",1.84073707361407,7.64903261307691,10.452204704394,0.000111473779308413,0.121144775854848,1.73835681389155,"Ndufa12"
"1456036_PM_x_at",2.11967335237539,7.275109787538,10.2549215141055,0.000122567306761588,0.125745699875565,1.66971778988716,"Gsto1"
"1450110_PM_at",-2.15621041173221,8.16887862532051,-10.1019560481104,0.00013207655879797,0.129610172623895,1.61498781595174,"Adh7"
"1426800_PM_at",1.94031381118526,6.16422999061085,10.0054901571755,0.000138523424569242,0.133044381031493,1.57977520703216,"Rab8b"
"1456212_PM_x_at",3.35580473185379,7.51328659845661,9.85556745362593,0.00014929856033108,0.136016810373748,1.52395040008933,"Socs3"
"1437478_PM_s_at",1.70752482915989,8.07241604059887,9.77659949481995,0.0001553722429859,0.136016810373748,1.49399695019762,"Efhd2"
"1449070_PM_x_at",-3.08572798995906,6.82707966782944,-9.73395377778635,0.000158773798939753,0.136016810373748,1.47766059213574,"Apcdd1"
"1422111_PM_at",-2.09630984951013,6.11005657029108,-9.56889716603572,0.000172798024435898,0.136034584927062,1.41335230020464,"Ackr2"
"1455283_PM_x_at",2.63114642531001,6.97842229863607,9.55599017686757,0.000173955252530866,0.136034584927062,1.40825017291696,"Ndufs8"
"1436947_PM_a_at",1.84223638582271,7.64874356778968,9.54678922880602,0.000174785802834887,0.136034584927062,1.40460646371897,"Txnl1"
"1416213_PM_x_at",1.82249546214499,9.00984036500881,9.38378029813258,0.00019030827651948,0.13853917040105,1.33913370368608,"Surf4"
"1455359_PM_at",-2.33939577252882,6.55572027191066,-9.36626831077269,0.000192071034535288,0.13853917040105,1.331995228091,"Ptpn14"
"1426708_PM_at",3.5837072289007,6.78760347336028,9.34682452449347,0.000194050930573647,0.13853917040105,1.32404516220105,"Antxr2"
"1417544_PM_a_at",2.56395260813486,6.5567240432977,9.32834124658732,0.000195955446441425,0.13853917040105,1.31646420324708,"Flot2"
"1416973_PM_at",1.92217736037971,8.60727478152458,9.31963336172842,0.00019686036599808,0.13853917040105,1.31288464184803,"LOC100862468 /// Nhp2l1"
